order_placed_at_utc,order_category,item_count,actual_delivery_time_minutes,estimated_delivery_time_lower_minutes,estimated_delivery_time_upper_minutes,venue_location_h3_index,customer_location_h3_index,courier_supply_index,precipitation
2022-02-01T06:01:00.000000,Retail,9,23.373547097494388,15.0,25.0,881126d307fffff,881126d307fffff,1.48,0.0
2022-02-01T06:16:00.000000,Food delivery,2,72.86412554467731,40.0,50.0,881126d339fffff,881126d311fffff,1.49,0.0
2022-02-01T06:46:00.000000,Food delivery,3,48.737269393058675,30.0,40.0,881126d33dfffff,881126d331fffff,1.5,0.0
2022-02-01T07:17:00.000000,Food delivery,5,37.74473233961906,35.0,45.0,881126d331fffff,881126d337fffff,1.56,0.0
2022-02-01T07:21:00.000000,Retail,15,68.88113597178152,35.0,45.0,881126d06bfffff,881126d027fffff,1.58,0.0
2022-02-01T07:21:00.000000,Retail,10,48.01453170262863,25.0,35.0,881126d06bfffff,881126d061fffff,1.62,0.0
2022-02-01T07:29:00.000000,Food delivery,2,88.40036923965049,35.0,45.0,881126d315fffff,881126d33dfffff,1.69,0.0
2022-02-01T07:36:00.000000,Food delivery,3,33.28056878858224,30.0,40.0,881126d339fffff,881126d33dfffff,1.76,0.0
2022-02-01T07:56:00.000000,Food delivery,2,22.853401792735855,20.0,30.0,881126d331fffff,881126d339fffff,1.84,0.0
2022-02-01T08:16:00.000000,Food delivery,2,28.494441773688948,20.0,30.0,881126d061fffff,881126d06dfffff,1.91,0.4
2022-02-01T08:29:00.000000,Food delivery,1,51.52303704853431,25.0,35.0,881126d307fffff,881126d15dfffff,1.94,0.4
2022-02-01T08:42:00.000000,Food delivery,3,15.187845025704384,20.0,30.0,881126d347fffff,881126d347fffff,1.97,0.4
2022-02-01T08:44:00.000000,Food delivery,1,15.077011159782757,10.0,15.0,881126c22dfffff,881126c22dfffff,1.96,0.4
2022-02-01T08:46:00.000000,Food delivery,4,30.925269213280753,30.0,40.0,881126d331fffff,881126d33dfffff,1.93,0.4
